"","x"
"1","id"
"2","member_id"
"3","loan_amnt"
"4","funded_amnt"
"5","funded_amnt_inv"
"6","installment"
"7","annual_inc"
"8","dti"
"9","inq_last_6mths"
"10","mths_since_last_record"
"11","open_acc"
"12","pub_rec"
"13","revol_bal"
"14","total_acc"
"15","out_prncp"
"16","out_prncp_inv"
"17","total_pymnt"
"18","total_pymnt_inv"
"19","total_rec_prncp"
"20","total_rec_int"
"21","total_rec_late_fee"
"22","recoveries"
"23","collection_recovery_fee"
"24","last_pymnt_amnt"
"25","collections_12_mths_ex_med"
"26","mths_since_last_major_derog"
"27","state"
"28","jobtime"
"29","grade1"
"30","gradeA"
"31","gradeB"
"32","gradeC"
"33","gradeD"
"34","gradeE"
"35","gradeF"
"36","gradeG"
"37","homes"
"38","liststatus"
"39","whole"
"40","fractional"
"41","interest"
"42","issuedate"
"43","lastpayment"
"44","loanstatus"
"45","delinquent"
"46","never_delinquent"
"47","need"
"48","revutil"
"49","subgrade"
"50","subA"
"51","subB"
"52","subC"
"53","subD"
"54","subE"
"55","subF"
"56","subG"
"57","terma"
"58","term60"
"59","term36"
"60","verification"
"61","collections_12_mths_ex_med"
"62","mths_since_last_major_derog"
"63","acc_now_delinq"
"64","tot_coll_amt"
"65","tot_cur_bal"
"66","total_rev_hi_lim"
"67","acc_open_past_24mths"
"68","avg_cur_bal"
"69","bc_open_to_buy"
"70","bc_util"
"71","chargeoff_within_12_mths"
"72","delinq_amnt"
"73","mo_sin_old_il_acct"
"74","mo_sin_old_rev_tl_op"
"75","mo_sin_rcnt_rev_tl_op"
"76","mo_sin_rcnt_tl"
"77","mort_acc"
"78","mths_since_recent_bc"
"79","mths_since_recent_bc_dlq"
"80","mths_since_recent_inq"
"81","mths_since_recent_revol_delinq"
"82","num_accts_ever_120_pd"
"83","num_actv_bc_tl"
"84","num_actv_rev_tl"
"85","num_bc_sats"
"86","num_bc_tl"
"87","num_il_tl"
"88","num_op_rev_tl"
"89","num_rev_accts"
"90","num_rev_tl_bal_gt_0"
"91","num_sats"
"92","num_tl_120dpd_2m"
"93","num_tl_30dpd"
"94","num_tl_90g_dpd_24m"
"95","num_tl_op_past_12m"
"96","pct_tl_nvr_dlq"
"97","percent_bc_gt_75"
"98","pub_rec_bankruptcies"
"99","tax_liens"
"100","tot_hi_cred_lim"
"101","total_bal_ex_mort"
"102","total_bc_limit"
"103","total_il_high_credit_limit"
"104","status"
